parent_id,teen_age_band,primary_concern,wants_risk_score,top_need,wtp_monthly_usd,currently_seeing_clinician,verbatim_comment
P001,16-17,Anxiety,Yes,A risk score,$5-10,No,"Honestly, yes — I want to know if this is normal teenage stuff or something real."
P002,14-15,Low mood,No,Knowing what to say,$5-10,Yes,"A score would terrify me and change nothing. Tell me the next sentence, not the risk."
P003,14-15,Anxiety,No,Finding a clinician,$0,Yes,Every waitlist is nine months. That's the whole product problem.
P004,14-15,Low mood,No,Knowing what to say,$5-10,Yes,I'm not looking for a diagnosis from my phone. I'm looking for words that don't make it worse.
P005,11-13,Low mood,No,Knowing what to say,$0,No,Numbers feel like a judgement on my parenting. I already feel judged.
P006,16-17,Screen & sleep,No,Knowing what to say,$20+,Yes,Her counsellor asks what changed since last time and I genuinely can't remember.
P007,16-17,Anxiety,No,Knowing what to say,$5-10,No,I'd rather have one good question to ask than ten charts.
P008,14-15,School refusal,No,Knowing what to say,$0,Yes,We tried a mood tracker. It became another thing I nagged him about.
P009,16-17,School refusal,Yes,Tracking progress,$5-10,Yes,"Honestly, yes — I want to know if this is normal teenage stuff or something real."
P010,11-13,Anxiety,No,Knowing what to say,$5-10,No,What I actually googled at 2am was 'what do I say to my daughter'. Not 'depression score'.
P011,16-17,Screen & sleep,Yes,A risk score,$5-10,Yes,Something objective would help me argue for a referral.
P012,11-13,Screen & sleep,No,Finding a clinician,$5-10,No,"I'd pay for the appointment, not the app."
P013,11-13,Anxiety,No,Knowing what to say,$0,No,I don't need an app to put a number on my kid. I need to know what to say at dinner.
P014,14-15,Screen & sleep,No,Knowing what to say,$0,Yes,"A score would terrify me and change nothing. Tell me the next sentence, not the risk."
P015,11-13,Anxiety,Yes,A risk score,$0,Yes,Something objective would help me argue for a referral.
P016,14-15,Anxiety,Yes,A risk score,$0,No,I keep second-guessing myself. A score would at least be a starting point.
P017,14-15,Anxiety,No,Knowing what to say,$5-10,No,Numbers feel like a judgement on my parenting. I already feel judged.
P018,14-15,Screen & sleep,No,Knowing what to say,$20+,No,Her therapist has the training. I just want to stop saying the wrong thing between sessions.
P019,16-17,Anxiety,No,Knowing what to say,$0,Yes,I'd rather have one good question to ask than ten charts.
P020,14-15,School refusal,No,Knowing what to say,$5-10,Yes,We tried a mood tracker. It became another thing I nagged him about.
P021,16-17,Low mood,No,Tracking progress,$5-10,No,By the time we get an appointment I've forgotten half of what happened that month.
P022,16-17,Anxiety,No,Knowing what to say,$5-10,No,What I actually googled at 2am was 'what do I say to my daughter'. Not 'depression score'.
P023,16-17,Screen & sleep,Yes,A risk score,$5-10,No,Something objective would help me argue for a referral.
P024,14-15,Screen & sleep,No,Knowing what to say,$5-10,No,A red flag with no next step is just anxiety with extra steps.
P025,11-13,Anxiety,No,Knowing what to say,$20+,Yes,I don't need an app to put a number on my kid. I need to know what to say at dinner.
P026,16-17,Low mood,No,Finding a clinician,$20+,No,I don't need software. I need a human with an opening.
P027,14-15,Anxiety,Yes,Tracking progress,$5-10,No,Something objective would help me argue for a referral.
P028,14-15,Anxiety,Yes,Finding a clinician,$5-10,Yes,"I'd pay for the appointment, not the app."
P029,14-15,Low mood,No,Knowing what to say,$5-10,No,Numbers feel like a judgement on my parenting. I already feel judged.
P030,11-13,Screen & sleep,Yes,Knowing what to say,$5-10,Yes,I'd take a number if it got us seen faster. Waiting lists don't care about feelings.
P031,11-13,Screen & sleep,Yes,A risk score,$0,Yes,Something objective would help me argue for a referral.
P032,16-17,Low mood,No,Finding a clinician,$0,No,"I'd pay for the appointment, not the app."
P033,14-15,School refusal,No,Finding a clinician,$5-10,No,Finding someone who takes our insurance and sees 14-year-olds took four months.
P034,16-17,Low mood,No,Knowing what to say,$5-10,No,What I actually googled at 2am was 'what do I say to my daughter'. Not 'depression score'.
P035,16-17,Low mood,No,Knowing what to say,$5-10,No,I don't want to be his monitor. I want to be his dad.
P036,14-15,Low mood,No,Knowing what to say,$5-10,No,Six weeks between sessions and no one knows what happened in between.
P037,16-17,School refusal,No,Knowing what to say,$5-10,No,I don't need an app to put a number on my kid. I need to know what to say at dinner.
P038,11-13,School refusal,No,Finding a clinician,$0,No,I don't need software. I need a human with an opening.
P039,11-13,Screen & sleep,No,Knowing what to say,$5-10,Yes,If a website told me my son was 'high risk' I'd panic and I still wouldn't know what to do.
P040,14-15,Screen & sleep,No,Knowing what to say,$20+,Yes,I'm not looking for a diagnosis from my phone. I'm looking for words that don't make it worse.
P041,11-13,Anxiety,Yes,Knowing what to say,$20+,No,"Honestly, yes — I want to know if this is normal teenage stuff or something real."
P042,11-13,Low mood,No,Tracking progress,$5-10,No,Her therapist has the training. I just want to stop saying the wrong thing between sessions.
P043,11-13,Anxiety,Yes,Knowing what to say,$0,No,Something objective would help me argue for a referral.
P044,11-13,Screen & sleep,No,Knowing what to say,$20+,Yes,We tried a mood tracker. It became another thing I nagged him about.
P045,11-13,Anxiety,No,Finding a clinician,$5-10,No,Finding someone who takes our insurance and sees 14-year-olds took four months.
P046,16-17,Anxiety,No,Knowing what to say,$0,No,Her counsellor asks what changed since last time and I genuinely can't remember.
P047,11-13,Anxiety,No,Knowing what to say,$0,No,I don't want to be his monitor. I want to be his dad.
P048,14-15,Low mood,No,Knowing what to say,$5-10,No,A red flag with no next step is just anxiety with extra steps.
P049,11-13,Low mood,No,Knowing what to say,$5-10,No,I don't need an app to put a number on my kid. I need to know what to say at dinner.
P050,16-17,School refusal,No,Knowing what to say,$0,No,"A score would terrify me and change nothing. Tell me the next sentence, not the risk."
